
=== Run start: Thu May 28 01:29:24 2026 ===
Student params: 1,230,608
Epoch 2/4 | Step 425/1784 | Loss 0.4114 | Elapsed 31.1min | ETA 130.1min
Epoch 2/4 | Step 450/1784 | Loss 0.3830 | Elapsed 32.8min | ETA 129.9min
Epoch 2/4 | Step 475/1784 | Loss 0.3720 | Elapsed 34.6min | ETA 129.6min
Epoch 2/4 | Step 500/1784 | Loss 0.3645 | Elapsed 36.3min | ETA 129.4min
Epoch 2/4 | Step 525/1784 | Loss 0.3563 | Elapsed 38.1min | ETA 129.2min
Epoch 2/4 | Step 550/1784 | Loss 0.3856 | Elapsed 39.8min | ETA 129.0min
Epoch 2/4 | Step 575/1784 | Loss 0.4203 | Elapsed 41.6min | ETA 128.7min
Epoch 2/4 | Step 600/1784 | Loss 0.3935 | Elapsed 43.3min | ETA 128.6min
Epoch 2/4 | Step 625/1784 | Loss 0.3679 | Elapsed 45.1min | ETA 128.5min
Epoch 2/4 | Step 650/1784 | Loss 0.3338 | Elapsed 46.9min | ETA 128.5min
Epoch 2/4 | Step 675/1784 | Loss 0.3768 | Elapsed 48.7min | ETA 128.4min
Epoch 2/4 | Step 700/1784 | Loss 0.3701 | Elapsed 50.4min | ETA 128.3min
Epoch 2/4 | Step 725/1784 | Loss 0.3761 | Elapsed 52.1min | ETA 128.1min
Epoch 2/4 | Step 750/1784 | Loss 0.3706 | Elapsed 53.9min | ETA 128.0min
Epoch 2/4 | Step 775/1784 | Loss 0.4059 | Elapsed 55.8min | ETA 128.3min
Epoch 2/4 | Step 800/1784 | Loss 0.3630 | Elapsed 58.3min | ETA 129.8min
Epoch 2/4 | Step 825/1784 | Loss 0.3408 | Elapsed 60.6min | ETA 131.0min
Epoch 2/4 | Step 850/1784 | Loss 0.3509 | Elapsed 63.3min | ETA 132.6min
Epoch 2/4 | Step 875/1784 | Loss 0.3563 | Elapsed 65.7min | ETA 133.7min
Epoch 2/4 | Step 900/1784 | Loss 0.3655 | Elapsed 67.9min | ETA 134.5min
Epoch 2/4 | Step 925/1784 | Loss 0.3593 | Elapsed 70.2min | ETA 135.2min
Epoch 2/4 | Step 950/1784 | Loss 0.3623 | Elapsed 72.4min | ETA 135.8min
Epoch 2/4 | Step 975/1784 | Loss 0.3427 | Elapsed 74.6min | ETA 136.3min
Epoch 2/4 | Step 1000/1784 | Loss 0.3380 | Elapsed 76.8min | ETA 136.8min
Epoch 2/4 | Step 1025/1784 | Loss 0.3761 | Elapsed 79.1min | ETA 137.5min
Epoch 2/4 | Step 1050/1784 | Loss 0.3267 | Elapsed 81.6min | ETA 138.5min
Epoch 2/4 | Step 1075/1784 | Loss 0.3462 | Elapsed 84.2min | ETA 139.6min
Epoch 2/4 | Step 1100/1784 | Loss 0.3440 | Elapsed 86.7min | ETA 140.5min
Epoch 2/4 | Step 1125/1784 | Loss 0.3575 | Elapsed 89.0min | ETA 141.0min
Epoch 2/4 | Step 1150/1784 | Loss 0.3504 | Elapsed 91.5min | ETA 141.8min
Epoch 2/4 | Step 1175/1784 | Loss 0.3372 | Elapsed 94.3min | ETA 143.1min
Epoch 2/4 | Step 1200/1784 | Loss 0.3197 | Elapsed 97.0min | ETA 144.1min
Epoch 2/4 | Step 1225/1784 | Loss 0.3586 | Elapsed 100.0min | ETA 145.5min
Epoch 2/4 | Step 1250/1784 | Loss 0.3200 | Elapsed 102.5min | ETA 146.1min
Epoch 2/4 | Step 1275/1784 | Loss 0.3435 | Elapsed 105.2min | ETA 147.1min
Epoch 2/4 | Step 1300/1784 | Loss 0.3643 | Elapsed 107.8min | ETA 147.8min
Epoch 2/4 | Step 1325/1784 | Loss 0.3067 | Elapsed 110.2min | ETA 148.3min
Epoch 2/4 | Step 1350/1784 | Loss 0.3731 | Elapsed 112.8min | ETA 148.9min
Epoch 2/4 | Step 1375/1784 | Loss 0.3775 | Elapsed 115.2min | ETA 149.4min
Epoch 2/4 | Step 1400/1784 | Loss 0.3224 | Elapsed 117.8min | ETA 150.0min
Epoch 2/4 | Step 1425/1784 | Loss 0.3582 | Elapsed 120.6min | ETA 150.8min
Epoch 2/4 | Step 1450/1784 | Loss 0.3263 | Elapsed 123.3min | ETA 151.6min
Epoch 2/4 | Step 1475/1784 | Loss 0.3409 | Elapsed 125.7min | ETA 151.9min
Epoch 2/4 | Step 1500/1784 | Loss 0.3587 | Elapsed 128.0min | ETA 152.2min
Epoch 2/4 | Step 1525/1784 | Loss 0.3169 | Elapsed 130.8min | ETA 152.9min
Epoch 2/4 | Step 1550/1784 | Loss 0.3452 | Elapsed 133.3min | ETA 153.3min
Epoch 2/4 | Step 1575/1784 | Loss 0.3254 | Elapsed 135.5min | ETA 153.4min
Epoch 2/4 | Step 1600/1784 | Loss 0.3229 | Elapsed 137.8min | ETA 153.6min
Epoch 2/4 | Step 1625/1784 | Loss 0.3367 | Elapsed 140.1min | ETA 153.7min
Epoch 2/4 | Step 1650/1784 | Loss 0.3310 | Elapsed 142.3min | ETA 153.8min
Epoch 2/4 | Step 1675/1784 | Loss 0.3310 | Elapsed 144.6min | ETA 153.9min
